sequential_entry_number,original_record_id,bank,record_type,exact_japanese_source,romaji,reconstructed_japanese,literal_english_meaning,linguistic_and_cultural_notes,speaker_or_narration_identity,current_english,problems_with_current_english,final_natural_english_translation,patch_safe_english_translation,confidence_level,unresolved_ambiguity,translation_status,scene,source_location,apparent_capacity,source_control_codes,patch_control_codes,control_codes_match,problem_categories,dialect_or_register,requires_gameplay_context,requires_technical_expansion,nuance_lost_in_patch_safe_version
465,TT3A/g2/r1,TT3A,scenario,まだ はやい,mada hayai,まだ はやい,It is still too soon.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It is still too soon.,Accurate,It is still too soon.,It is still too soon.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 1,current draft 21 visible characters; longest control-delimited segment 21/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
466,TT3A/g2/r2,TT3A,scenario,おれ「ひゃあーーっ／ つめてーーっ／」,ore「hyaaaa／ ttsumeteee／」,おれ「ひゃあーーっ／ つめてーーっ／」,Protagonist: Aah! It is freezing!,おれ: plain-to-rough masculine first person; ／ functions as a strong display exclamation/beat Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Protagonist,Me: Aah! It is freezing!,Accurate,Protagonist: Aah! It is freezing!,Me: Aah! It is freezing!,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 2,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,おれ: plain-to-rough masculine first person; ／ functions as a strong display exclamation/beat,no,no,
467,TT3A/g2/r3,TT3A,scenario,あつくて さわれない,atsukute sawarenai,あつくて さわれない,Too hot to touch.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Too hot to touch.,Accurate,Too hot to touch.,Too hot to touch.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 3,current draft 17 visible characters; longest control-delimited segment 17/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
468,TT3A/g2/r4,TT3A,scenario,すこし よこにずらすと……,sukoshi yokonizurasuto……,すこし よこにずらすと……,I slide it aside…,"ellipsis carries hesitation, silence, or timing Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,I slide it aside...,Accurate,I slide it aside…,I slide it aside...,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 4,current draft 19 visible characters; longest control-delimited segment 19/24 columns; final fit depends on group recompression,,,yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
469,TT3A/g2/r5,TT3A,scenario,{CTRL:0}あながあいている とんねるだ……／, / anagaaiteiru tonneruda……／,あながあいている とんねるだ……／,An open tunnel…!,"ellipsis carries hesitation, silence, or timing; ／ functions as a strong display exclamation/beat Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,{CTRL:0}An open tunnel...!,Accurate,An open tunnel…!,{CTRL:0}An open tunnel...!,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 5,current draft 18 visible characters; longest control-delimited segment 18/24 columns; final fit depends on group recompression,0,0,yes,Accurate,"ellipsis carries hesitation, silence, or timing; ／ functions as a strong display exclamation/beat",no,no,
470,TT3A/g2/r6,TT3A,scenario,{CTRL:0}とんねるは ふさがれている, / tonneruha fusagareteiru,とんねるは ふさがれている,The tunnel is blocked.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,{CTRL:0}The tunnel is blocked.,Accurate,The tunnel is blocked.,{CTRL:0}The tunnel is blocked.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 6,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
471,TT3A/g2/r7,TT3A,scenario,……「まて くーがー……」,……「mate kuugaa……」,……「まて クーガー……」,"Voice: Wait, Cougar…","ellipsis carries hesitation, silence, or timing Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.","Off-screen voice, likely an ally","Voice: Wait, Cougar...",Accurate,"Voice: Wait, Cougar…","Voice: Wait, Cougar...",Requires gameplay context,"The off-screen voice is probably an ally, but the exact speaker needs the surrounding gameplay shot.",Final proposed — gameplay/visual confirmation requested,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 7,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,,,yes,Accurate,"ellipsis carries hesitation, silence, or timing",yes,no,
472,TT3A/g2/r8,TT3A,scenario,くらくてせまい,kurakutesemai,くらくてせまい,Dark and narrow.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Dark and narrow.,Accurate,Dark and narrow.,Dark and narrow.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 8,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
473,TT3A/g2/r9,TT3A,scenario,ねんどしつだ はちうえにはむかないな,nendoshitsuda hachiuenihamukanaina,ねんどしつだ はちうえにはむかないな,Clay soil. Bad for pots.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Clay soil. Bad for pots.,Accurate,Clay soil. Bad for pots.,Clay soil. Bad for pots.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 9,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
474,TT3A/g2/r10,TT3A,scenario,つちをほると なかにこいしがあった,tsuchiohoruto nakanikoishigaatta,つちをほると なかにこいしがあった,I dig up a small pebble.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,I dig up a small pebble.,Accurate,I dig up a small pebble.,I dig up a small pebble.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 10,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
475,TT3A/g2/r11,TT3A,scenario,{CTRL:0}いちおう とっておこう, / ichiou totteokou,いちおう とっておこう,I may as well take it.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,{CTRL:0}I may as well take it.,Accurate,I may as well take it.,{CTRL:0}I may as well take it.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 11,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
476,TT3A/g2/r12,TT3A,scenario,ここじゃ むりだ,kokoja murida,ここじゃ むりだ,Not here.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Not here.,Accurate,Not here.,Not here.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 12,current draft 9 visible characters; longest control-delimited segment 9/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
477,TT3A/g2/r13,TT3A,scenario,むだだ,mudada,むだだ,No use.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,No use.,Accurate,No use.,No use.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 13,current draft 7 visible characters; longest control-delimited segment 7/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
478,TT3A/g2/r14,TT3A,scenario,もりまではまだ5めーとるほど ある,morimadehamada5meetoruhodo aru,もりまではまだ5めーとるほど ある,The woods are 5m away.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,The woods are 5m away.,Accurate,The woods are 5m away.,The woods are 5m away.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 14,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
479,TT3A/g2/r15,TT3A,scenario,こちらには まだきづいていない,kochiraniha madakizuiteinai,こちらには まだきづいていない,He has not seen me yet.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,He has not seen me yet.,Accurate,He has not seen me yet.,He has not seen me yet.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 15,current draft 23 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
